ID	ww_ave_yield
461811643	6094.476774
461811648	6242.909032
461811652	6325.707097
461811656	6559.25
461811660	6730.118065
461811664	6923.010645
461811689	3815.792258
461811698	2090.180968
461811702	2078.749355
461811706	2048.625161
461811710	2422.03871
461811714	2412.794516
461811718	2024.079032
461811723	2060.661935
461811727	2358.632581
461811731	2886.617742
461811798	8300.690323
461811802	8058.292258
461811806	7545.123548
461811810	7221.575484
461811814	6586.065161
461811818	6029.263548
461811823	5076.493226
461811827	4322.241613
461811831	4058.814839
461811835	3830.784194
461811839	3457.206774
461811843	3450.877097
461811848	3235.789032
461811852	3014.856129
461811856	3032.609677
461811860	2841.40871
461811864	2321.473548
461811868	2272.251935
461811873	3359.745484
461811877	2538.805806
461811918	717.9493548
461811923	834.2045161
461811927	823.8232258
461811931	870.9219355
461811935	917.4729032
461811939	1056.824839
461811943	1245.091613
461811948	1284.354516
461811952	1259.857419
461811956	1187.640323
461811960	1104.540645
461811964	1094.382581
461811968	1124.934516
461811972	1108.256774
461811977	995.533871
461811981	972.3345161
461811985	915.6154839
461811989	879.9941935
461811993	887.3348387
461812002	868.1383871
462211602	6189.533548
462211606	6600.767419
462211610	6629.730323
462211614	5438.095161
462211618	5073.16129
462211623	4958.485806
462211627	5045.963548
462211631	5293.132258
462211635	5546.601935
462211639	5809.58871
462211643	6006.007742
462211648	6109.002903
462211652	6078.437419
462211656	6560.571613
462211660	6174.793871
462211664	6849.12
462211668	6896.371935
462211681	5413.546452
462211685	4273.98871
462211689	3806.752903
462211693	3339.890645
462211702	2119.636129
462211706	2031.186129
462211710	2035.155484
462211714	1967.125161
462211718	1791.656452
462211723	2168.362903
462211727	2276.672258
462211731	2312.464194
462211735	2822.349032
462211789	7457.160323
462211793	7792.82
462211798	7645.303226
462211802	7170.137742
462211806	6185.468387
